subject,academic_year,standard_number,standard_version,weight_excellence,effective_credits
Japanese,2018,91556,1,0.885017421602788,5
Japanese,2018,91555,1,0.73542600896861,6
Japanese,2018,91554,1,0.720792079207921,3
Japanese,2018,91557,1,0.718995290423862,5
Korean,2018,91558,1,0.75,5
Korean,2018,91561,1,0.75,5
Korean,2018,91560,1,0.609375,6
Korean,2018,91559,1,0.586206896551724,3
Korean,2018,91562,1,0.551724137931035,5
Samoan,2018,91566,1,0.956293706293707,5
Samoan,2018,91563,1,0.928571428571429,5
Samoan,2018,91567,1,0.836391437308869,5
Samoan,2018,91564,1,0.831683168316832,3
Samoan,2018,91565,1,0.831269349845201,6
Spanish,2018,91571,1,0.952764976958525,5
Spanish,2018,91568,1,0.925837320574163,5
Spanish,2018,91569,1,0.74,3
Spanish,2018,91572,1,0.738986784140969,5
Spanish,2018,91570,1,0.73134328358209,6
Calculus,2018,91573,1,0.945652173913044,3
Calculus,2018,91578,1,0.934182471103131,6
Calculus,2018,91579,1,0.933114880493447,6
Calculus,2018,91576,2,0.92282882315922,2
Calculus,2018,91577,1,0.911654697785757,5
Calculus,2018,91574,1,0.90625,2
Statistics,2018,91580,1,0.982142857142857,4
Statistics,2018,91581,1,0.970588235294118,4
Statistics,2018,91584,1,0.966237942122187,4
Statistics,2018,91585,1,0.953456692019526,4
Statistics,2018,91586,1,0.94828805885682,4
Statistics,2018,91581,2,0.907064471879287,4
Dance,2018,91588,1,1.0,8
Dance,2018,91589,1,1.0,4
Dance,2018,91595,1,0.9453125,4
Dance,2018,91594,1,0.943025540275049,4
Dance,2018,91593,1,0.875,4
Social Studies,2018,91600,1,1.0,4
Social Studies,2018,91598,1,0.947368421052632,4
Social Studies,2018,91596,1,0.904761904761905,4
Social Studies,2018,91599,1,0.859536867763559,6
Social Studies,2018,91597,1,0.856236203090508,6
Biology,2018,91603,1,0.952778151486614,5
Biology,2018,91605,1,0.949608958407394,4
Biology,2018,91606,1,0.938172671970052,4
Biology,2018,91602,1,0.903225806451613,3
Biology,2018,91601,1,0.878378378378378,4
Biology,2018,91607,1,0.868421052631579,3
Biology,2018,91601,2,0.854137003638665,1
Technology/Hangarau,2018,91608,1,1.0,4
Technology/Hangarau,2018,91836,1,1.0,5
Technology/Hangarau,2018,91617,1,0.94839609483961,4
Technology/Hangarau,2018,91612,1,0.945530726256983,4
Technology/Hangarau,2018,91613,1,0.944852941176471,4
Technology/Hangarau,2018,91614,1,0.9375,3
Construction and Mechanical Technologies,2018,91623,1,1.0,4
Construction and Mechanical Technologies,2018,91624,1,0.942307692307692,3
Construction and Mechanical Technologies,2018,91625,1,0.93421052631579,3
Construction and Mechanical Technologies,2018,91620,1,0.90067214339059,6
Construction and Mechanical Technologies,2018,91621,1,0.9,6
Construction and Mechanical Technologies,2018,91622,2,0.859738372093023,2
Design and Visual Communication,2018,91628,1,1.0,6
Design and Visual Communication,2018,91630,1,1.0,6
Design and Visual Communication,2018,91628,2,1.0,6
Design and Visual Communication,2018,91627,1,0.963722397476341,4
Design and Visual Communication,2018,91629,1,0.956521739130435,2
Digital Technologies,2018,91633,1,1.0,6
Digital Technologies,2018,91635,1,1.0,4
Digital Technologies,2018,91636,1,0.957861635220126,4
Digital Technologies,2018,91632,1,0.934579439252337,4
Digital Technologies,2018,91637,1,0.916666666666667,6
Processing Technologies,2018,91643,1,0.873441396508728,6
Processing Technologies,2018,91644,1,0.769736842105263,4
Te Reo Māori,2018,91652,1,0.943840579710145,6
Te Reo Māori,2018,91653,1,0.91839762611276,6
Te Reo Māori,2018,91654,2,0.86734693877551,6
Te Reo Māori,2018,91650,2,0.862936344969199,4
Te Reo Māori,2018,91651,2,0.860597439544808,2
Tongan,2018,91679,1,0.846491228070175,5
Tongan,2018,91681,1,0.8125,6
Tongan,2018,91680,1,0.803738317757009,3
Tongan,2018,91683,1,0.794392523364486,5
Tongan,2018,91682,1,0.768,5
Te Reo Rangatira,2018,91808,1,0.954954954954955,3
Te Reo Rangatira,2018,91804,1,0.954268292682927,3
Te Reo Rangatira,2018,91806,1,0.946078431372549,4
Te Reo Rangatira,2018,91810,1,0.881516587677725,4
Te Reo Rangatira,2018,91817,1,0.847560975609756,4
Te Reo Rangatira,2018,91805,1,0.836448598130841,4
Te Reo Rangatira,2018,91809,1,0.835714285714286,2
Science/Pūtaiao,2018,91818,1,1.0,4
Science/Pūtaiao,2018,91819,1,1.0,4
Science/Pūtaiao,2018,91820,1,1.0,4
New Zealand Sign Language,2018,91824,1,0.833333333333333,6
New Zealand Sign Language,2018,91823,1,0.666666666666667,3
New Zealand Sign Language,2018,91822,1,0.5,5
New Zealand Sign Language,2018,91825,1,0.5,6
Tikanga ā-Iwi,2018,91828,1,1.0,4
Tikanga ā-Iwi,2018,91833,1,0.882352941176471,4
Tikanga ā-Iwi,2018,91826,1,0.8125,4
Tikanga ā-Iwi,2018,91830,1,0.78125,4
Tikanga ā-Iwi,2018,91834,1,0.6,4
Tikanga ā-Iwi,2018,91827,1,0.5,4
Ngā Mahi a te Rēhia,2018,91852,1,0.897727272727273,4
Ngā Toi Puoro,2018,91863,1,0.714285714285714,4
Psychology,2018,91876,1,0.938202247191011,3
Psychology,2018,91872,1,0.832822085889571,6
Psychology,2018,91874,1,0.823717948717949,6
Psychology,2018,91875,1,0.809471365638767,4
Psychology,2018,91873,1,0.807977736549165,3
Digital Technologies and Hangarau Matihiko,2018,91907,1,0.825,6
Digital Technologies and Hangarau Matihiko,2018,91906,1,0.777777777777778,6
Digital Technologies and Hangarau Matihiko,2018,91900,1,0.75,6
Samoan,2019,90584,1,1.0,3
Samoan,2019,91566,1,0.9375,5
Samoan,2019,91563,1,0.924180327868853,5
Samoan,2019,91567,1,0.832179930795848,5
Samoan,2019,91564,1,0.820422535211268,3
Samoan,2019,91565,1,0.806506849315069,3
Religious Studies,2019,90825,1,1.0,6
Religious Studies,2019,91725,1,0.844105691056911,6
Religious Studies,2019,90825,2,0.8234652539732,6
Religious Studies,2019,90826,2,0.809748083242059,6
Education for Sustainability,2019,90828,1,1.0,6
Education for Sustainability,2019,91735,1,1.0,4
Education for Sustainability,2019,91736,1,0.902777777777778,4
Education for Sustainability,2019,90828,2,0.87780548628429,6
Education for Sustainability,2019,91735,2,0.871473354231975,4
Business Studies,2019,91379,1,0.964285714285714,4
Business Studies,2019,91381,1,0.962732919254658,4
Business Studies,2019,91380,1,0.955568053993251,4
Business Studies,2019,91385,1,0.929961089494164,3
Business Studies,2019,91870,1,0.881909547738694,4
Business Studies,2019,91383,1,0.879641909814324,3
Business Studies,2019,91871,1,0.879396984924623,2
Chemistry,2019,91389,1,0.952380952380952,3
Chemistry,2019,91390,1,0.935353535353535,5
Chemistry,2019,91391,1,0.927480916030534,5
Chemistry,2019,91392,1,0.908429610611896,5
Chemistry,2019,91389,2,0.834362384231774,3
Chemistry,2019,91388,1,0.833333333333333,3
Classical Studies,2019,91398,1,1.0,6
Classical Studies,2019,91396,1,0.942654639175258,6
Classical Studies,2019,91395,1,0.935094773118897,4
Classical Studies,2019,91394,1,0.923935091277891,4
Classical Studies,2019,91398,2,0.842642320085929,4
Economics,2019,91403,1,0.960902733630006,6
Economics,2019,91400,1,0.947690857681433,4
Economics,2019,91399,1,0.930211032950759,4
Economics,2019,91402,1,0.874185136897001,5
Economics,2019,91402,2,0.842251288149029,5
Accounting,2019,91405,1,1.0,4
Accounting,2019,91408,1,0.960928961748634,4
Accounting,2019,91404,1,0.951530612244898,4
Accounting,2019,91406,1,0.942375263527758,5
Accounting,2019,91407,1,0.848331648129424,5
Accounting,2019,91409,2,0.81046277665996,2
Earth and Space Science,2019,91410,1,1.0,4
Earth and Space Science,2019,91411,1,1.0,4
Earth and Space Science,2019,91412,1,1.0,4
Earth and Space Science,2019,91413,1,0.984441301272985,4
Earth and Space Science,2019,91414,1,0.970749542961609,4
Earth and Space Science,2019,91410,2,0.923128792987188,4
Music Studies,2019,91419,1,1.0,8
Music Studies,2019,91420,1,0.952586206896552,4
Music Studies,2019,91423,1,0.938976377952756,4
Music Studies,2019,91421,1,0.90929203539823,4
Music Studies,2019,91425,2,0.84479271991911,4
Geography,2019,91429,1,0.960943969086393,4
Geography,2019,91427,1,0.949651432997676,4
Geography,2019,91426,1,0.946365767878077,4
Geography,2019,91431,1,0.920454545454546,3
Geography,2019,91430,1,0.909090909090909,5
Geography,2019,91432,1,0.9,3
Geography,2019,91430,2,0.888447184812591,1
History,2019,91438,1,0.949309478970496,6
History,2019,91436,1,0.94756446991404,4
History,2019,91435,1,0.934782608695652,5
History,2019,91439,1,0.926589595375723,6
History,2019,91437,1,0.88,3
Design (Practical Art),2019,91450,1,1.0,4
Design (Practical Art),2019,91445,1,0.928571428571429,4
Design (Practical Art),2019,91455,1,0.928460743801653,14
Design (Practical Art),2019,91450,2,0.861261705273534,2
Painting (Practical Art),2019,91441,1,1.0,4
Painting (Practical Art),2019,91456,1,0.913786008230453,14
Painting (Practical Art),2019,91446,1,0.875,4
Painting (Practical Art),2019,91451,2,0.849617672047579,2
Photography (Practical Art),2019,91452,1,1.0,4
Photography (Practical Art),2019,91457,1,0.936979785969085,14
Photography (Practical Art),2019,91442,1,0.881390593047035,4
Photography (Practical Art),2019,91452,2,0.87894952810833,2
Printmaking (Practical Art),2019,91448,2,0.877551020408163,4
Printmaking (Practical Art),2019,91453,2,0.875331564986737,4
Printmaking (Practical Art),2019,91443,1,0.875,4
Printmaking (Practical Art),2019,91453,1,0.875,4
Printmaking (Practical Art),2019,91458,1,0.852459016393443,8
Sculpture (Practical Art),2019,91444,1,1.0,4
Sculpture (Practical Art),2019,91856,1,1.0,4
Sculpture (Practical Art),2019,91855,1,0.928571428571429,4
Sculpture (Practical Art),2019,91454,1,0.884848484848485,4
Sculpture (Practical Art),2019,91449,1,0.856807511737089,4
Sculpture (Practical Art),2019,91460,1,0.848224513172967,4
Health Education,2019,91811,1,1.0,3
Health Education,2019,91465,1,0.97752808988764,5
Health Education,2019,91462,1,0.965594614809275,5
Health Education,2019,91815,1,0.958333333333333,5
Health Education,2019,91461,2,0.904769183735861,5
Health Education,2019,91463,2,0.89987345776653,1
