subject,academic_year,standard_number,standard_version,weight_excellence_raw,weight_excellence_sanitized,penalized_one,effective_credits
Printmaking (Practical Art),2018,91453,2,0.847222222222222,0.847222222222222,False,4
Printmaking (Practical Art),2018,91443,1,0.828571428571429,0.828571428571429,False,4
Printmaking (Practical Art),2018,91458,1,0.822265625,0.822265625,False,12
Sculpture (Practical Art),2018,91460,1,0.892857142857143,0.892857142857143,False,4
Sculpture (Practical Art),2018,91444,1,0.877358490566038,0.877358490566038,False,4
Sculpture (Practical Art),2018,91459,1,0.875,0.875,False,14
Sculpture (Practical Art),2018,91449,1,0.861111111111111,0.861111111111111,False,2
Health Education,2018,91465,1,0.983333333333333,0.983333333333333,False,5
Health Education,2018,91462,1,0.968023255813953,0.968023255813953,False,5
Health Education,2018,91463,1,0.958333333333333,0.958333333333333,False,5
Health Education,2018,91464,1,0.944444444444444,0.944444444444444,False,4
Health Education,2018,91461,1,0.936363636363636,0.936363636363636,False,5
Home Economics,2018,91471,1,0.930293501048218,0.930293501048218,False,4
Home Economics,2018,91467,2,0.919786096256685,0.919786096256685,False,5
Home Economics,2018,91466,2,0.916489738145789,0.916489738145789,False,5
Home Economics,2018,91470,1,0.915625,0.915625,False,4
Home Economics,2018,91469,2,0.898661567877629,0.898661567877629,False,5
Home Economics,2018,91468,2,0.893397524071527,0.893397524071527,False,1
English,2018,91474,1,0.950400251137969,0.950400251137969,False,4
English,2018,91473,1,0.939722572509458,0.939722572509458,False,4
English,2018,91472,1,0.936465981399902,0.936465981399902,False,4
English,2018,91477,1,0.902799788695193,0.902799788695193,False,3
English,2018,91480,1,0.891290616885396,0.891290616885396,False,3
English,2018,91478,1,0.890407554671968,0.890407554671968,False,4
History of Art,2018,91484,1,0.941634241245136,0.941634241245136,False,4
History of Art,2018,91483,1,0.93021472392638,0.93021472392638,False,4
History of Art,2018,91482,1,0.92814371257485,0.92814371257485,False,4
History of Art,2018,91489,1,0.865102639296188,0.865102639296188,False,4
History of Art,2018,91486,1,0.850220264317181,0.850220264317181,False,4
History of Art,2018,91485,2,0.847236180904523,0.847236180904523,False,4
Media Studies,2018,91497,1,0.954545454545455,0.954545454545455,False,3
Media Studies,2018,91490,1,0.949919224555735,0.949919224555735,False,4
Media Studies,2018,91493,1,0.94987146529563,0.94987146529563,False,4
Media Studies,2018,91492,1,0.932432432432433,0.932432432432433,False,3
Media Studies,2018,91492,2,0.891602399314482,0.891602399314482,False,3
Media Studies,2018,91496,1,0.888888888888889,0.888888888888889,False,3
Physical Education,2018,91505,2,0.919277108433735,0.919277108433735,False,4
