"List of all adjusted percentile weightings by result (Not achieved, Achieved, Merit and Excellence) for Unit and Achievement standards by Academic Year (2025)",,,,,,
Academic Year,Standard Number,Standard Version ,Adjusted Not Achieved Percentile,Adjusted  Achieved Percentile,Adjusted Merit Percentile,Adjusted Excellence Percentile
2025,9695,7,0.1248769864373818,0.6248769864373818,1,1
2025,9695,8,0.05196031977071514,0.5519603197707151,1,1
2025,9695,9,0,0.5,1,1
2025,9705,7,0.03427444210263919,0.5342744421026392,1,1
2025,9705,8,0.0184086702905587,0.5184086702905587,1,1
2025,9792,5,0,0.5,1,1
2025,9913,9,0,0.5,1,1
2025,10013,6,0,0.5,1,1
2025,10013,7,0.009843420328730201,0.5098434203287302,1,1
2025,10013,8,0.01406769068203279,0.5140676906820327,1,1
2025,10019,7,0.01418043488504311,0.5141804348850432,1,1
2025,10026,7,0.03868772444540092,0.5386877244454009,1,1
2025,10082,4,0.06454918032786888,0.5645491803278688,1,1
2025,10087,4,0,0.5,1,1
2025,10308,5,0,0.5,1,1
2025,10545,6,0,0.5,1,1
2025,10645,4,0.02621504066432112,0.5260733173075739,0.9997519841260615,0.9998937074828086
2025,10707,7,0,0.5,1,1
2025,10851,4,0.003288625593588446,0.5011865353861744,0.9970030554896996,0.9991051456971136
2025,10851,5,0.001846515993258802,0.4997444257858448,0.9970030554896996,0.9991051456971136
2025,10852,4,0,0.5,1,1
2025,10852,5,0,0.5,1,1
2025,11095,7,0.06598671340256956,0.5659867134025696,1,1
2025,11095,8,0.1047382379618333,0.6047382379618333,1,1
2025,11097,5,0,0.5,1,1
2025,11097,6,0.01314521761942544,0.5131452176194254,1,1
2025,11815,7,0.03580123238780225,0.5358012323878023,1,1
2025,11815,8,0.1034271316683778,0.6034271316683777,1,1
2025,11816,7,0.3164513497226954,0.8088150538891714,0.988938319122849,0.9965746149563731
2025,11816,8,0.2395282727996185,0.7318919769660944,0.988938319122849,0.9965746149563731
2025,11817,7,0,0.5,1,1
2025,11817,8,0.01689833587783235,0.5168983358778323,1,1
2025,11817,9,0,0.5,1,1
2025,11818,7,0.003613919528434817,0.5036139195284348,1,1
2025,11818,8,0.02459163071030412,0.5245916307103041,1,1
